adminPcode,name,male_population_2011,female_population_2011,population_2011,crude_birth_rate_2011
PG010101,Balimo Urban LLG,2264,2130,4394,10
PG010102,Bamu Rural LLG,6922,6510,13432,10
PG010311,Daru Urban LLG,17023,16010,33033,10
PG010103,Gogodala Rural LLG,7426,6984,14410,10
PG010206,Kiunga Rural LLG,7256,6824,14080,10
PG010207,Kiunga Urban LLG,7670,7213,14883,10
PG010312,Kiwai Rural LLG,5659,5322,10981,10
PG010104,Lake Murray Rural LLG,8604,8093,16697,10
PG010313,Morehead Rural LLG,2518,2368,4886,10
PG010208,Ningerum Rural LLG,7937,7466,15403,10
PG010105,Nomad Rural LLG,7803,7339,15142,10
PG010209,Olsobip Rural LLG,8934,8402,17336,10
PG010314,Oriomo-Bituri Rural LLG,8314,7819,16133,10
PG010210,Star Mountains Rural LLG,5432,5109,10541,10
PG020207,Baimuru Rural LLG,8803,7806,16609,10
PG020101,Central Kerema Rural LLG,6961,6173,13134,10
PG020102,East Kerema Rural LLG,6737,6218,12955,10
PG020208,East Kikori Rural LLG,3060,2825,5885,10
PG020209,Ihu Rural LLG,23146,22239,45385,10
PG020103,Kaintiba Rural LLG,7295,5968,13263,10
PG020104,Kerema Urban LLG,6150,5909,12059,10
PG020105,Kotidanga Rural LLG,5871,5641,11512,10
PG020106,Lakekamu-Tauri Rural LLG,9364,8996,18360,10
PG020210,West Kikori Rural LLG,4427,4608,9035,10
PG030101,Amazon Bay Rural LLG,6017,5335,11352,10
PG030102,Aroma Rural LLG,14892,13747,28639,10
PG030103,Cloudy Bay Rural LLG,8412,7166,15578,10
PG030204,Guari Rural LLG,2969,2633,5602,10
PG030307,Hiri Rural LLG,4986,4247,9233,10
PG030308,Kairuku Rural LLG,11266,9991,21257,10
PG030309,Koiari Rural LLG,24960,22134,47094,10
PG030310,Mekeo Kuni Rural LLG,15627,13858,29485,10
PG030411,Rigo Central Rural LLG,8439,7483,15922,10
PG030412,Rigo Coastal Rural LLG,15124,13961,29085,10
PG030413,Rigo Inland Rural LLG,8174,7248,15422,10
PG030205,Tapini Rural LLG,13502,12464,25966,10
PG030206,Woitape Rural LLG,7863,7258,15121,10
PG040101,National Capital District,194834,169291,364125,10
PG050107,Alotau Urban LLG,4968,4586,9554,10
PG050208,Bwanabwana Rural LLG,3626,3483,7109,10
PG050102,Daga Rural LLG,7739,7545,15284,10
PG050415,Dobu Rural LLG,5094,4894,9988,10
PG050416,Duau Rural LLG,17950,15918,33868,10
PG050313,Goodenough Island LLG,6415,5464,11879,10
PG050105,Huhu Rural LLG,6284,5573,11857,10
PG050312,Kiriwina Rural LLG,6421,5694,12115,10
PG050209,Louisiade Rural LLG,11845,11380,23225,10
PG050101,Makamaka Rural LLG,6573,6486,13059,10
PG050104,Maramatana Rural LLG,5299,4892,10191,10
PG050211,Murua Rural LLG,19095,17626,36721,10
PG050106,Suau Rural LLG,14159,13036,27195,10
PG050103,Weraura Rural LLG,7689,7097,14786,10
PG050414,West Ferguson Rural LLG,11846,10935,22781,10
PG050210,Yaleyemba Rural LLG,8788,8112,16900,10
PG060103,Afore Rural LLG,15932,14128,30060,10
PG060206,Higaturu Rural LLG,9506,8775,18281,10
PG060208,Kira Rural LLG,9638,8897,18535,10
